Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
T,I don't know too much about.,1,0,0,0,0,0,0,0
X,"It's like minus sixty up at altitude, so you know which is - I mean it's cold but I'm not sure that - I'm not sure that it is as far as burning something, it might actually be better. ",0,0,1,0,0,0,0,0
T,Um. ,1,0,0,0,0,0,0,0
X,"Compressor to get it up to the pressure that we need. Then we have a combustor, right. That's gonna - that's gonna provide the energy that we're putting in.",0,0,0,0,0,1,0,0
A,To increase the temperature.,0,0,0,0,0,1,0,0
X,Yeah and it's gonna increase the temperature a lot. And it's also - ,0,0,0,0,0,1,0,0
T,To give us - the combustor gives us energy for thrust is that?,0,0,0,0,0,1,0,0
X,It gives us yeah the energy - ,0,0,0,0,0,1,0,0
T,Ok. ,1,0,0,0,0,0,0,0
X,- to - so usually -,1,0,0,0,0,0,0,0
T,Just to get us going.,1,0,0,0,0,0,0,0
X,- usually you get yeah you would have the combustor and then uh you would extract some energy from that in from a turbine to spin the compressor right. So that's - ,0,0,0,0,0,0,0,1
T,Ok ok. ,1,0,0,0,0,0,0,0
X,- right. ,1,0,0,0,0,0,0,0
T,Some of which goes to spin right the compressor. ,0,0,0,0,1,0,0,0
X,Yeah. Um and then the rest of which just goes out the back.,0,0,0,0,1,0,0,0
A,Exhaust.,0,0,0,1,0,0,0,0
X,The exhaust. Or you could have an afterburner which is very common on high-altitude stuff because you're basically putting more energy in because you just need so much to overcome the weight of drag of going that fast. ,0,0,0,1,0,0,0,0
T,Ok so it says sometimes it'll have an afterburner.,0,0,0,1,0,0,0,0
A,Should we have an afterburner?,0,0,0,1,0,0,0,0
T,Um. ,1,0,0,0,0,0,0,0
X,Um. Every high-altitude - ,0,0,1,0,0,0,0,0
T,What's the advantage?,1,0,0,0,0,0,0,0
X,Of having an afterburner?,0,0,0,1,0,0,0,0
T,Yeah. ,1,0,0,0,0,0,0,0
X,"You're just dumping more fuel in after - so after you've taken out energy to spin the compressor, you're just dumping more fuel in so that you have more thrust. ",0,0,0,0,1,0,0,0
T,Oh ok. It just - using it - using it up.,0,0,0,0,1,0,0,0
X,"Yeah it's like it's like hey you didn't need that amount of power to run the compressor, but you needed that amount of power to move the plane forward. ",1,0,0,0,0,0,0,0
A,Oh ok.,1,0,0,0,0,0,0,0
T,Ok.,1,0,0,0,0,0,0,0
X,"Yeah. And so like a high-altitude aircraft like a SR-71, A-12, those use afterburners. Uh the Concorde actually uh had afterburners um that was a passenger plane.",0,0,0,1,0,0,0,0
T,Yeah. ,1,0,0,0,0,0,0,0
X,"Um but like a U-2 which is also a high-altitude plane, although it doesn't go to a hundred thousand feet it only goes to like eighty-five thousand feet, that does not have an afterburner. Um but that's essentially a glider with a jet engine on it so.",0,0,0,1,0,0,0,0
T,Right.,1,0,0,0,0,0,0,0
X,It's kinda.,1,0,0,0,0,0,0,0
T,So it sounds like it wouldn't be a disadvantage to have an afterburner on this. ,0,0,0,1,0,0,0,0
X,Probably not. ,1,0,0,0,0,0,0,0
T,I mean - ,1,0,0,0,0,0,0,0
P,Except like it says -,1,0,0,0,0,0,0,0
T,We do need to worry about weight.,1,0,0,0,0,0,0,0
P,Yeah. ,1,0,0,0,0,0,0,0
X,Actually that probably helps us with weight.,1,0,0,0,0,0,0,0
T,Ok. ,1,0,0,0,0,0,0,0
X,The thing it doesn't help us with is afterburners are typically not very efficient. ,1,0,0,0,0,0,0,0
T,Ok. ,1,0,0,0,0,0,0,0
X,Uh and stuff but it probably helps us with weight because we don't have to build a turbine that can handle the full pressure of all that.,0,0,0,1,0,0,0,0
T,Ok. ,1,0,0,0,0,0,0,0
X,We just you know we just have to make the nozzle at the end be able to handle it.,0,0,0,1,0,0,0,0
T,Turbine doesn't need to be as - I don't know. ,0,0,0,1,0,0,0,0
X,Uh it doesn't need to handle the heat um and the pressure I guess would be the...,1,0,0,0,0,0,0,0
T,Pressure so we can save on weight. Um.,1,0,0,0,0,0,0,0
X,So if you're wondering this is what it looks like.,1,0,0,0,0,0,0,0
T,Oh yeah. ,1,0,0,0,0,0,0,0
X,Yeah so it's.,1,0,0,0,0,0,0,0
T,"I did so much with this in high school, but I feel like I've forgotten all of it. ",1,0,0,0,0,0,0,0
T,Um. Ok.,1,0,0,0,0,0,0,0
X,Oh here we go ok. Back. ,1,0,0,0,0,0,0,0
T,Um. This is really good.,1,0,0,0,0,0,0,0
X,So. Does this help?,1,0,0,0,0,0,0,0
T,Absolutely. Yeah. Um ok. So oh where - ,1,0,0,0,0,0,0,0
X,So do we actually have to -,1,0,0,0,0,0,0,0
T,Wait where does it sorry - where does it go into the turbine? Is that - that's after the compressor?,0,0,0,1,0,0,0,0
X,So so yeah so we would have a diffuser I think.,0,0,0,1,0,0,0,0
T,Yeah.,1,0,0,0,0,0,0,0
X,"Then so that slows the air down, and then that allows the compressor to compress it to a high pressure. Then right after the compressor is our combustor, and that's going to provide - that's gonna add energy to the system. Then right after that is the turbine where we're actually gonna extract some of that energy to spin the compressor.",0,0,0,0,0,0,0,1
T,Mhm.,1,0,0,0,0,0,0,0
X,"Um. And then after that, we have um a place that we can put more fuel if we want, and that would be the afterburner. Um and actually in thinking about this, I wonder if - so probably also for that afterburner if that's what we're gonna use, we would want to have a way to bleed air around the combustor, around the turbine, and straight into the afterburner so there's more oxygen to burn the fuel.",0,0,0,0,0,0,1,0
T,Um ok.,1,0,0,0,0,0,0,0
X,"So that might be a thing, and I don't know if that's gonna need doors or anything",1,0,0,0,0,0,0,0
T,Ok so you're saying in using an afterburner we'd want to bring some from the start all the way.,0,0,0,0,0,0,1,0
X,"So some that's been compressed, but it bypasses the combustor, so it bypasses the place that there's the - where we're gonna increase the temperature.",0,0,0,0,0,0,1,0
T,Yeah.,1,0,0,0,0,0,0,0
X,"And it bypasses the turbine, but then it gets dumped into the stream um after, so that there's air to burn the fuel right. So there's - you know cause we've already blown a bunch of fuel into the air and probably burned most of the oxygen. I don't know how much oxygen would still be there. ",0,0,0,0,0,0,1,0
T,Ok.,1,0,0,0,0,0,0,0
X,Um. Uh. But that is probably gonna have to have some doors on it because it's gonna depend on whether you're actually using the afterburner or not like for whatever stage of flight. ,0,0,0,1,0,0,0,0
T,Ok. Yeah. ,1,0,0,0,0,0,0,0
X,"So you know you wouldn't - if you're not creating a lot of power off the engine, you wouldn't want tons of air bypassing everything internal to the engine. Um. ",0,0,0,0,0,0,1,0
T,Right. Ok. So we'll need some kind of valve system for that. ,0,0,0,1,0,0,0,0
X,Yeah some kind of valve. That's a good way to put it. ,0,0,0,1,0,0,0,0
T,Ok. Um wait wait I just wanna make sure I have it into words correctly. We want the compressed air in the afterburner to just give us more energy? Or. ,0,0,0,0,0,1,0,0
X,"Uh so we can put more fuel in, right. So we can burn more fuel.",0,0,0,0,1,0,0,0
T,Ok ok. ,1,0,0,0,0,0,0,0
X,Cause we need the oxygen is what we need. ,0,0,0,1,0,0,0,0
T,Um. ,1,0,0,0,0,0,0,0
T,Is that good? Um.,1,0,0,0,0,0,0,0
X,"And actually so something that well that could be uh noted here is that at some speed, you wouldn't even need the compressor because you'd be going so fast that air - you'd be able to just - it would just compress as it comes in.",0,0,0,0,0,1,0,0
T,Ok.,1,0,0,0,0,0,0,0
X,But um I don't know what speed that would be. ,0,0,0,0,0,1,0,0
T,Afterburner...,0,0,0,1,0,0,0,0
X,Oh not afterburner.,0,0,0,1,0,0,0,0
T,Ok sorry sorry.,1,0,0,0,0,0,0,0
X,You probably still want that afterburner.,0,0,0,1,0,0,0,0
T,A compressor um ok because it would already be - ,0,0,0,1,0,0,0,0
X,Because there'd be enough energy in the air coming in that -,0,0,0,0,0,1,0,0
T,Yeah.,1,0,0,0,0,0,0,0
X,"- it would just compress. But I don't know what that speed would be. And I don't think it actually asks us to solve this problem, right? It just says - ",0,0,0,0,0,1,0,0
A,Design,1,0,0,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
T,Yeah see that's - I wasn't sure if we - yeah if we wanted any kind of like quantitative numbers on this. Do we at least maybe want to guess -,1,0,0,0,0,0,0,0
X,Some numbers?,1,0,0,0,0,0,0,0
T,- on some temperatures and pressures?,1,0,0,0,0,0,0,0
X,Sure. We could so,1,0,0,0,0,0,0,0
T,I want like.,1,0,0,0,0,0,0,0
X,"Ok so so from a pressure and temperature standpoint, those we can get from a table, right.",1,0,0,0,0,0,0,0
T,Ok yeah. ,1,0,0,0,0,0,0,0
X,So we could say um hang on let me uh I think it's like engineering edge. Density... let's see here. Um. Yeah there we go. So air density um at a hundred thousand feet is point three three uh let's see here you guys aren't gonna like that number. It's in slugs. ,1,0,0,0,0,0,0,0
T,Oh.,1,0,0,0,0,0,0,0
X,Slugs per foot cubed. Um ok so let's see here. ,1,0,0,0,0,0,0,0
T,Disgusting. ,1,0,0,0,0,0,0,0
X,Oh although they did say that this was a hundred thousand feet -,1,0,0,0,0,0,0,0
A,Yeah.,1,0,0,0,0,0,0,0
X,Not in meters. Not thirty thousand meters. ,1,0,0,0,0,0,0,0
T,They did. ,1,0,0,0,0,0,0,0
X,So this is the appropriate one to use.,1,0,0,0,0,0,0,0
T,Ok. That's fine. ,1,0,0,0,0,0,0,0
X,So yeah so it's point three three - so actually so I would say three point three um times ten to the minus five slugs per foot cubed. ,1,0,0,0,0,0,0,0
T,Ok well we can make that prettier later. ,1,0,0,0,0,0,0,0
X,Um. So what that means is um so actually we probably want a velocity right we want to know what the velocity coming in is. So if we assume - so this is back to our assumptions thing - if we assume that this airplane would fly at um let's see here what's two hundred miles an hour in feet per second right? So that's probably... need my calculator. ,1,0,0,0,0,0,0,0
T,Guys my calculator broke yesterday and I'm really really mad about it. ,1,0,0,0,0,0,0,0
X,Oh no did I not bring my calculator with me?,1,0,0,0,0,0,0,0
T,I have a broken calculator. ,1,0,0,0,0,0,0,0
P,Um should - we can just use Wolfram Alpha. ,1,0,0,0,0,0,0,0
X,Oh yeah hey there you go. Yeah. ,1,0,0,0,0,0,0,0
T,Wow getting real good. ,1,0,0,0,0,0,0,0
X,Ah no it's - ,1,0,0,0,0,0,0,0
P,What happened?,1,0,0,0,0,0,0,0
T,"We can use whatever isn't obscured. But, it's just sad.",1,0,0,0,0,0,0,0
X,Here. Do you already have Wolfram up?,1,0,0,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
X,Uh two hundred miles per hour in feet per second. ,1,0,0,0,0,0,0,0
P,Two hundred ninety-three point three feet per second. ,1,0,0,0,0,0,0,0
X,So let's just say two hundred - let's just say - we'll call it - ,1,0,0,0,0,0,0,0
A,Three hundred. ,1,0,0,0,0,0,0,0
X,- three hundred. Three hundred. Three hundred feet per second. ,1,0,0,0,0,0,0,0
T,"Three hundred. This is - and this is velocity of air in, right?",1,0,0,0,0,0,0,0
X,"So well no. Three hundred feet per second is the velocity that the airplane would fly if it was at sea level. Um so the other thing that you need to know is you need to know what the density at sea level is, which is uh two point three seven seven times ten to the minus three slugs per feet cubed. ",1,0,0,0,0,0,0,0
T,You may need to say that one more time. ,1,0,0,0,0,0,0,0
X,Actually I'll.,1,0,0,0,0,0,0,0
T,At sea level,1,0,0,0,0,0,0,0
X,"So zero feet. It's that one that says twenty-three, but I just changed it to - ",1,0,0,0,0,0,0,0
T,Yeah ok. Twenty-three point seven seven.,1,0,0,0,0,0,0,0
P,Do you want to link that too so we can cite it?,1,0,0,0,0,0,0,0
X,Yeah. Yeah yeah yeah. ,1,0,0,0,0,0,0,0
T,Oh yeah two point three.,1,0,0,0,0,0,0,0
X,Just uh.,1,0,0,0,0,0,0,0
T,Seven.,1,0,0,0,0,0,0,0
X,Um. Let's see here. Let me turn this. So.,1,0,0,0,0,0,0,0
T,Wow that was an interesting spelling of density on my part. ,1,0,0,0,0,0,0,0
X,Do you want like a links section? ,1,0,0,0,0,0,0,0
T,Yeah maybe just at the bottom. ,1,0,0,0,0,0,0,0
X,And what I'll do is I'll take a screen shot of that chart - ,1,0,0,0,0,0,0,0
T,That's good. ,1,0,0,0,0,0,0,0
X,- so that we can uh - oh crap do you guys know how to - I'm - ,1,0,0,0,0,0,0,0
A,Command shift 4.,1,0,0,0,0,0,0,0
X,Is it command shift 4?,1,0,0,0,0,0,0,0
A,Mhm.,1,0,0,0,0,0,0,0
X,Ok. And then I just click.,1,0,0,0,0,0,0,0
T,Yo MacBook. ,1,0,0,0,0,0,0,0
X,I know. I'm - I've gone to the dark side. ,1,0,0,0,0,0,0,0
T,Cannot relate. ,1,0,0,0,0,0,0,0
X,Ok k k k. They got me with their sleek sexy line. ,1,0,0,0,0,0,0,0
T,Mk.,1,0,0,0,0,0,0,0
P,I have to run to a meeting. ,1,0,0,0,0,0,0,0
T,Ok yeah. All good. ,1,0,0,0,0,0,0,0
X,Cool. Well thank you.,1,0,0,0,0,0,0,0
T,We're probably winding down anyway.,1,0,0,0,0,0,0,0
P,I'll be back in half an hour if you happen to still be going then but.,1,0,0,0,0,0,0,0
T,Ok. Well just take a look at our doc maybe before we turn it in. ,1,0,0,0,0,0,0,0
X,Is it just like a nope that's not it ok. Where does it save the picture?,1,0,0,0,0,0,0,0
A,Your downloads?,1,0,0,0,0,0,0,0
X,Is it in downloads? Ok so. ,1,0,0,0,0,0,0,0
A,For your desktop. ,1,0,0,0,0,0,0,0
X,So I should just be able to hit insert.,1,0,0,0,0,0,0,0
A,Yeah. Check your recent.,1,0,0,0,0,0,0,0
X,Load from this computer. Documents,1,0,0,0,0,0,0,0
A,It should be under recents.,1,0,0,0,0,0,0,0
X,Under recents?,1,0,0,0,0,0,0,0
T,Yeah. ,1,0,0,0,0,0,0,0
X,Ok screenshot there it is. Ok choose. There it is. There. Can you guys see that? Does that work? ,1,0,0,0,0,0,0,0
A,Oh there we go. ,1,0,0,0,0,0,0,0
T,There we go.,1,0,0,0,0,0,0,0
X,Ok. ,1,0,0,0,0,0,0,0
T,Nice.,1,0,0,0,0,0,0,0
X,Oh nice look at that you even got like compressor in brackets. How fun. Ok so um so what this means so from a thing so if we have our one uh cL A times - so ok let me just write that down - so um is this where are we putting this is this under assumptions?,1,0,0,0,0,0,0,0
T,Yeah. Either assumptions or like right above it is like what we know for sure. ,1,0,0,0,0,0,0,0
X,Ok. ,1,0,0,0,0,0,0,0
A,The actual.,1,0,0,0,0,0,0,0
X,Um so if flight at sea level is three hundred feet per second. Then... and... one half... uh did you guys have like that cool little rho somewhere?,1,0,0,0,0,0,0,0
T,Uh Aditi got it from equations. I don't know.,1,0,0,0,0,0,0,0
X,Rho. Here I'll type it this way and somebody can like.,1,0,0,0,0,0,0,0
T,Yeah I got you.,1,0,0,0,0,0,0,0
X,Plus one-half rho v. Actually I should probably say it's equal to rho v squared,1,0,0,0,0,0,0,0
A,That was [inaudible].,1,0,0,0,0,0,0,0
X,Times c lift. Let's make that guy subscript. Let's see how do we do this. Uh.,1,0,0,0,0,0,0,0
T,Beats me.,1,0,0,0,0,0,0,0
X,Text subscript. Ok now I have to get out of subscript.,1,0,0,0,0,0,0,0
T,Oh. ,1,0,0,0,0,0,0,0
X,Um.,1,0,0,0,0,0,0,0
T,I never know how to do that. ,1,0,0,0,0,0,0,0
X,Let's see here uh lift times wing area. That's probably... then if uh so basically we have to make um yeah let's see here so how does this work so we need um. ,1,0,0,0,0,0,0,0
A,[inaudible],1,0,0,0,0,0,0,0
X,"To get the same lift, if rho goes down, we have to get v to go up. How do we write that equation?",1,0,0,0,0,0,0,0
T,So if rho decreases,1,0,0,0,0,0,0,0
A,v must increase.,1,0,0,0,0,0,0,0
T,By like one over one hundred.,1,0,0,0,0,0,0,0
X,Yeah. ,1,0,0,0,0,0,0,0
T,Or I guess the decrease is by one hundred.,1,0,0,0,0,0,0,0
X,Then v squared must increase by 100.,1,0,0,0,0,0,0,0
T,"Then, yeah. ",1,0,0,0,0,0,0,0
A,Wait.,1,0,0,0,0,0,0,0
X,So I guess the way that we would write this would be that one half rho v squared cL A v or cL A has to equal one half rho v squared cL A cause our lift requirement didn't change. ,1,0,0,0,0,0,0,0
T,Yeah. ,1,0,0,0,0,0,0,0
X,So thus v,1,0,0,0,0,0,0,0
T,Um just v equals.,1,0,0,0,0,0,0,0
X,v or v2 or whatever has to equal - I guess it's now our v one hundred thousand feet. Uh it's not squared it's not squared. ,1,0,0,0,0,0,0,0
T,Oh oh. Sorry. Subscript. ,1,0,0,0,0,0,0,0
X,Subscript yeah. v oh it was under format yeah.,1,0,0,0,0,0,0,0
T,Oh. ,1,0,0,0,0,0,0,0
X,Uh decrease - uh increases by a factor of ten. So three hundred times ten is three thousand feet per second. ,1,0,0,0,0,0,0,0
T,Um.,1,0,0,0,0,0,0,0
A,[inaudible],1,0,0,0,0,0,0,0
T,Um increases by a hundred.,1,0,0,0,0,0,0,0
A,By ten. ,1,0,0,0,0,0,0,0
X,By ten. ,1,0,0,0,0,0,0,0
T,Oh sorry by ten since it's squared. ,1,0,0,0,0,0,0,0
X,Yeah. ,1,0,0,0,0,0,0,0
T,Um increases by.,1,0,0,0,0,0,0,0
X,"And I suppose we could if we were um wanting to be really good with it, it was actually um uh is it 3.3 divided by 237 cause we actually got those numbers, right.",1,0,0,0,0,0,0,0
T,Wait what is this for?,1,0,0,0,0,0,0,0
X,Um up here.,1,0,0,0,0,0,0,0
A,You're ten to the four.,1,0,0,0,0,0,0,0
T,Oh yeah yeah yeah yeah. ,1,0,0,0,0,0,0,0
X,Yeah this one's to the three.,1,0,0,0,0,0,0,0
T,Density ratio.,1,0,0,0,0,0,0,0
X,Yeah yeah. ,1,0,0,0,0,0,0,0
T,Equals.,1,0,0,0,0,0,0,0
X,And it's not 2.3 its 237.,1,0,0,0,0,0,0,0
T,Oh. Yeah. Ok. ,1,0,0,0,0,0,0,0
X,So um so I wonder if we shouldn't - cause the first one kind of is like a nice explanation and the second one is like the actual numbers.,1,0,0,0,0,0,0,0
T,Yeah. ,1,0,0,0,0,0,0,0
X,So um so we just have to figure out what the square root of -,1,0,0,0,0,0,0,0
T,Of the actual numbers -,1,0,0,0,0,0,0,0
X,- 237 divided by 3.3,1,0,0,0,0,0,0,0
T,- are ok yeah yeah. Um actual...,1,0,0,0,0,0,0,0
X,Ok so I guess - I guess it wasn't quite ten it's like eight point four seven times faster. So it's like basically eight point five. ,1,0,0,0,0,0,0,0
T,Velocity must be eight times faster. ,1,0,0,0,0,0,0,0
X,Um that would mean so three hundred woah nope times three hundred so our velocity becomes uh twenty-five hundred forty feet per second. ,1,0,0,0,0,0,0,0
T,Um. Feet per second. ,1,0,0,0,0,0,0,0
X,"Ok. So ok what other numbers do we need? Oh you wanted to know the temperature at altitude, right?",1,0,0,0,0,0,0,0
T,"Yeah I mean I just well I feel like we should have - it can be a rough estimate, but because - ",1,0,0,0,0,0,0,0
X,Oh we actually have - that table has temperature in it.,1,0,0,0,0,0,0,0
T,"Oh nice. Ok. But yeah cause it's saying - it's asking for a protocol to get oxygen up to the appropriate temperature and pressure, I feel like.",1,0,0,0,0,0,0,0
X,But then doesn't tell us what that is.,1,0,0,0,0,0,0,0
T,Yeah. Would it - would we be able to just come up with a very rough estimate of like I don't - even just like magnitude like orders of magnitude of what that might be?,1,0,0,0,0,0,0,0
X,Yeah. I mean we could just say that um uh so so we could just use like a typical gasoline engine right -,1,0,0,0,0,0,0,0
T,Yeah. ,1,0,0,0,0,0,0,0
X,"- as a thing. So typically a gas engine is somewhere around ten to one compression ratio, so um and, you know, they run at seventy degrees Fahrenheit, so um so we would just say uh if um let's see here so we would just use p v equals n R T, right? So.",1,0,0,0,0,0,0,0
T,Yeah wait I'm sorry what was the first number that you said that a gas engine runs at?,1,0,0,0,0,0,0,0
X,Oh well so let's say that a typical engine runs at um - if you wanted Kelvin -,1,0,0,0,0,0,0,0
T,Yeah.,1,0,0,0,0,0,0,0
X,- um two hundred and seventy-three - you know that would be like zero degrees - would that be zero degrees? ,1,0,0,0,0,0,0,0
T,Yeah.,1,0,0,0,0,0,0,0
X,"Yeah it would be zero degrees Celsius right or thirty-two degrees Fahrenheit um so um if we're just using that and we said ok well we know that engines run at this temperature - they can. I mean right when it's freezing out, your car still runs right. ",1,0,0,0,0,0,0,0
T,Ok ok. Yeah. ,1,0,0,0,0,0,0,0
X,"Um so if we use that and we said ok they typically have like a ten to one compression ratio, then um then uh you know if the temperature coming in was two hundred and seventy-three degrees Kelvin, then when it's compressed, it goes up, right? Wow actually twenty-seven hundred degrees Kelvin is that right? If you compressed a gas ten times, does the temperature jump ten times?",1,0,0,0,0,0,0,0
T,Yeah?,1,0,0,0,0,0,0,0
A,Temperature. This is why I don't -,1,0,0,0,0,0,0,0
X,"p v equals n R T? Right if your pressure went up ten times, then and your volume decreased ten times, does your temperature go - your temperature goes up though when you increase the pressure. Why is this - why is this not computing in my head? What's going on here?",1,0,0,0,0,0,0,0
T,Alright I'm also seeing if I can just find any stuff online about like typical -,1,0,0,0,0,0,0,0
X,Typical jet engine.,1,0,0,0,0,0,0,0
T,jet engine like conditions.,1,0,0,0,0,0,0,0
X,Yeah so what you want to know is you want to know um what is the pressure and temperature leaving the compressor.,1,0,0,0,0,0,0,0
