Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
C,Or we could just like start out with a certain mass - like a known mass of gas. ,0,0,1,0,0,0,0,0
B,Yeah. I think that's the easiest.,1,0,0,0,0,0,0,0
C,Or something with known density. Like that's the only way you could really do it. ,0,0,1,0,0,0,0,0
A,Ok if we have something with a known density and we have the volume of the container then we could just say that. ,0,0,1,0,0,0,0,0
C,Yeah. But it's like the known density like at that temperature. ,1,0,0,0,0,0,0,0
A,So I'll just say by using known density.,0,0,1,0,0,0,0,0
C,At the actual temperature. ,1,0,0,0,0,0,0,0
A,Should we just say at 25 degrees? Oh should we just make it room temperature or? Ok yeah at - ,0,0,1,0,0,0,0,0
B,You could just say initial. It could be whatever temperature. ,0,0,1,0,0,0,0,0
C,Yeah. ,1,0,0,0,0,0,0,0
A,And the volume of the container. Ok. Start a timer when the heater is turned on. And then -,0,0,1,0,0,0,0,0
C,Monitor the temperature until you see that it goes up one degree Celsius. ,0,0,1,0,0,0,0,0
A,Does it actually matter? If it went up like five we could just stop the timer and like - ,0,0,1,0,0,0,0,0
B,Yeah.,1,0,0,0,0,0,0,0
C,Account for the fact that it's five. Yeah. ,1,0,0,0,0,0,0,0
A,Ok. Yeah. ,1,0,0,0,0,0,0,0
C,But it would be - it'll just make it easier to have like - ,1,0,0,0,0,0,0,0
B,One.,1,0,0,0,0,0,0,0
C,Want it to get - yeah. So we might as well do one. ,1,0,0,0,0,0,0,0
A,Monitor the temperature until it increases by one degree. Why did I do that? I wrote out degree. Um. Then stop timer?,0,0,1,0,0,0,0,0
B,And then multiply the watts by the seconds and divide that by the mass times the temperature. ,1,0,0,0,0,0,0,0
C,Isn't it not by the temperature? Or I mean I guess it's - if it's one degree then you don't have to - ,1,0,0,0,0,0,0,0
B,Yeah. That's fair. ,1,0,0,0,0,0,0,0
A,Um. Yeah so multiply the energy in by the time and then just like set the -,1,0,0,0,0,0,0,0
C,Divide by the mass.,1,0,0,0,0,0,0,0
A,Yeah. Can I just say divide by the mass and the change in temperature? And then by the time right?,1,0,0,0,0,0,0,0
B,Yeah. ,1,0,0,0,0,0,0,0
C,"When it says specific heats, does that just mean like you could do this for any temperature of it and it would get the specific heat for that temperature? Or does it mean -",0,1,0,0,0,0,0,0
D,Wait what?,1,0,0,0,0,0,0,0
C,Cause it says determine the specific heats of a gas using a resistance heater?,0,1,0,0,0,0,0,0
D,Does it mean at constant pressure and constant volume? Cause there's two different specific heats of a gas. ,0,1,0,0,0,0,0,0
C,Yeah I guess. ,1,0,0,0,0,0,0,0
D,Like there's cp and cv. ,1,0,0,0,0,0,0,0
A,This would use cv.,1,0,0,0,0,0,0,0
C,cv.,1,0,0,0,0,0,0,0
D,Could we find cp with a resistance heater? Like how does it - ,1,0,0,0,0,0,0,0
C,Can't you just do it based on cv? Isn't there a relationship?,1,0,0,0,0,0,0,0
B,Oh yeah. ,1,0,0,0,0,0,0,0
D,Oh yeah there is. It's like with the R value.,1,0,0,0,0,0,0,0
C,Yeah. ,1,0,0,0,0,0,0,0
D,"I think, right?",1,0,0,0,0,0,0,0
C,Would we know the R value?,1,0,0,0,0,0,0,0
A,We don't - yeah. ,1,0,0,0,0,0,0,0
D,Yeah do we - is there another relationship? There definitely is like - yeah I think it's just like adding the R though which isn't super helpful. Yes. ,1,0,0,0,0,0,0,0
A,So I feel like maybe - ,1,0,0,0,0,0,0,0
C,How would you make it constant pressure though?,1,0,0,0,0,0,0,0
A,Could you put it in a chamber that's at constant pressure? I have no idea. I don't know how resistance heat - like. ,0,0,1,0,0,0,0,0
D,Yeah I don't know how resistance heaters work. We definitely haven't like covered that. ,1,0,0,0,0,0,0,0
C,I don't think resistance heater is part of that part. That's just heating it up.,1,0,0,0,0,0,0,0
B,Can you use the -,1,0,0,0,0,0,0,0
D,But it's like - I don't know if the gas stays at a constant like volume or temperature or pressure whatever. ,0,0,0,1,0,0,0,0
A,Say it's a volume.,1,0,0,0,0,0,0,0
C,"If we keep it in a closed space, then it'll stay constant volume. ",0,0,0,0,1,0,0,0
D,But isn't it like a - yeah I guess it will. But doesn't it like run through it?,1,0,0,0,0,0,0,0
C,So just like having a - I don't - it's just like those problems that we do where there's like a room and there's like a radiator inside.,1,0,0,0,0,0,0,0
B,Mhm. ,1,0,0,0,0,0,0,0
D,Ok. ,1,0,0,0,0,0,0,0
C,In this case the radiator has a hundred percent - ,1,0,0,0,0,0,0,0
D,Ok. ,1,0,0,0,0,0,0,0
C,- like energy to heat. So I think that's the only thing.,1,0,0,0,0,0,0,0
D,Cause I thought it was you were putting the gas into like the radiator and when you use a radiator you like run stuff through it and it keeps like moving in and out like.,0,0,0,0,1,0,0,0
C,I think it's just using a resistance heater.,1,0,0,0,0,0,0,0
D,Ok. Oh using oh oh oh oh.,1,0,0,0,0,0,0,0
C,Yeah not like - ,1,0,0,0,0,0,0,0
D,I was like assuming that meant you had to like use the gas in it. That makes more sense. ,0,0,0,1,0,0,0,0
C,Yeah. ,1,0,0,0,0,0,0,0
D,Ok. ,1,0,0,0,0,0,0,0
A,Um if we find the cv from this would this be the cv average between the two temperatures? Like the initial and the final temperature? Is that fine?,1,0,0,0,0,0,0,0
D,Wait to find - wait sorry I don't understand what you're saying. ,1,0,0,0,0,0,0,0
A,So like the process that we just went through by raising - like letting the temperature increase by one degree and then stopping and then dividing everything and like calculating it. Wouldn't that be cv average between those two temperatures like the initial temperature and then the one degree more?,0,1,0,0,0,0,0,0
D,No I think that's like the definition of cv is like the amount to raise it one degree. ,0,1,0,0,0,0,0,0
A,So it - it doesn't - it like should I say that it's for a specific temperature or no?,0,1,0,0,0,0,0,0
D,I guess yeah. I guess you could say that. Oh for cp we could put it in a piston and then the pressure will stay constant. Cause the thing moves to keep pressure constant. But the volume will change. So that's how - ,0,0,1,0,0,0,0,0
C,Does pressure never change in a piston?,1,0,0,0,0,0,0,0
D,Not if it's moving. If it stops - it's like there's no stops in a piston -,1,0,0,0,0,0,0,0
C,Oh ok. Yeah. ,1,0,0,0,0,0,0,0
D,- it's constant pressure so we could put like the resistance heater under a piston.,0,0,1,0,0,0,0,0
C,Under a piston. ,1,0,0,0,0,0,0,0
A,Ok. ,1,0,0,0,0,0,0,0
D,And then that's how you find like cp. ,1,0,0,0,0,0,0,0
C,You don't have to write it out all the way again. I think you can make - ,1,0,0,0,0,0,0,0
D,You could say like do the same thing.,1,0,0,0,0,0,0,0
C,"Instead of like a constant volume tank, we used a piston.",1,0,0,0,0,0,0,0
D,Yeah. Use a piston so it's at constant pressure. ,1,0,0,0,0,0,0,0
C,Yeah. ,1,0,0,0,0,0,0,0
D,And then like same calculations and like methods. ,1,0,0,0,0,0,0,0
A,Ok. Um. Yeah. ,1,0,0,0,0,0,0,0
A,Ok and then can we still say that E in equals that though? Cause wouldn't E in technically equal the change in internal energy in that case?,1,0,0,0,0,0,0,0
C,So you're saying there'd be work?,1,0,0,0,0,0,0,0
A,And then there's h. Yeah. ,1,0,0,0,0,0,0,0
D,Well no it's - there's no work on the gas. It's the gas doing - ,0,0,0,1,0,0,0,0
A,"But there's boundary work that happens right? So that's why we can say that it's change in h still I think. Because you know how um if it's boundary work you can move the boundary work to the other side where U is and it would still just end up equaling Q, so I think we can still do that.",1,0,0,0,0,0,0,0
B,What do you...,1,0,0,0,0,0,0,0
C,Wait what do you mean?,1,0,0,0,0,0,0,0
A,Maybe we have to find the boundary work and add it.,1,0,0,0,0,0,0,0
C,Well how would you find the boundary work?,1,0,0,0,0,0,0,0
A,You can see how - ,1,0,0,0,0,0,0,0
D,Far the piston moves. ,1,0,0,0,0,0,0,0
A,You can - yeah. And it's constant P. ,1,0,0,0,0,0,0,0
C,Yeah. That makes sense. ,1,0,0,0,0,0,0,0
A,So. I'm just gonna. So change in U equals Q minus W. There would be boundary work. ,1,0,0,0,0,0,0,0
B,I feel like we should move on. ,1,0,0,0,0,0,0,0
C,Ok. ,1,0,0,0,0,0,0,0
A,I'm just gonna write this out I'm sorry guys.,1,0,0,0,0,0,0,0
B,Take your time. ,1,0,0,0,0,0,0,0
A,Um so are we saying that the change in U equals E in?,1,0,0,0,0,0,0,0
D,Change in U equals E in.,1,0,0,0,0,0,0,0
A,Yeah so the amount of energy that we're putting in by turning on the resistance heater. ,1,0,0,0,0,0,0,0
D,Um I'm not sure if that - ,1,0,0,0,0,0,0,0
A,Because it's a hundred percent. ,1,0,0,0,0,0,0,0
D,Oh. ,1,0,0,0,0,0,0,0
A,Efficient. Is that what we said before? Or would this just be cause you have to subtract the boundary work?,1,0,0,0,0,0,0,0
D,I'm not really sure. Wait where are you getting the delta U like as part of that like you're saying oh cause it's only changing - ,1,0,0,0,0,0,0,0
A,Uh it's like from yeah.,1,0,0,0,0,0,0,0
D,- the internal energy. ,1,0,0,0,0,0,0,0
A,Yeah from the equation like um the change in energy equals the change in internal energy. Cause it's like a closed system. ,1,0,0,0,0,0,0,0
D,Right.,1,0,0,0,0,0,0,0
B,Couldn't we also just calculate R from the ideal gas equation?,1,0,0,0,0,0,0,0
D,I think we can't assume it's ideal.,1,0,0,0,0,0,0,0
A,I don't think we - yeah cause it's an experiment and all of those values were also done using experiments so I don't think we can use like known values. ,1,0,0,0,0,0,0,0
B,Mm. ,1,0,0,0,0,0,0,0
A,I think - like I think we can do this,1,0,0,0,0,0,0,0
D,And we don't know if the gas is like super unideal.,1,0,0,0,0,0,0,0
A,Yeah. Cause would the change in internal energy just be how much we're putting in so E in? That kind of makes sense. ,1,0,0,0,0,0,0,0
D,Oh yeah cause yeah this is like E in is U plus KE plus PE but we don't have any kinetic or potential so it's just change in internal.,1,0,0,0,0,0,0,0
A,"So we would just have to say like E in plus the boundary work. So we'd have to calculate like just the volume, which is an extra thing we'd have to - like the volume change. ",1,0,0,0,0,0,0,0
D,Change yeah yeah yeah.,1,0,0,0,0,0,0,0
A,Yeah. ,1,0,0,0,0,0,0,0
D,To find the boundary work yeah. ,1,0,0,0,0,0,0,0
A,Yeah. ,1,0,0,0,0,0,0,0
D,Ok. That makes sense yeah. ,1,0,0,0,0,0,0,0
A,So I'm just gonna say E in plus P - I guess we'd have to figure out what pressure or yeah we'd have to - ,1,0,0,0,0,0,0,0
D,I don't think you need to know the pressure just that it's constant but maybe you do. ,1,0,0,0,0,0,0,0
A,Ok. Ok. ,1,0,0,0,0,0,0,0
C,But to find the work don't you need the force applied on the piston?,1,0,0,0,0,0,0,0
A,No you just need P - I think you do need the pressure. ,1,0,0,0,0,0,0,0
D,Yeah.,1,0,0,0,0,0,0,0
A,"Cause like if you look at like this is what I was just writing down the equation so because of this, you can just add W to this side, so the change in U plus W equals Q. And then if we're saying that this equals change in h, we can say that that equals that. And then if we're saying that this equals E in plus P - ",1,0,0,0,0,0,0,0
C,Plus?,1,0,0,0,0,0,0,0
D,You're trying to find the boundary work you're saying?,1,0,0,0,0,0,0,0
A,It's - it's minus.,1,0,0,0,0,0,0,0
C,Yeah. Sorry. ,1,0,0,0,0,0,0,0
B,"Cause it's work done on the surroundings, so it's - yeah. ",1,0,0,0,0,0,0,0
A,Wait but it's work - sorry - it's work done by - ,1,0,0,0,0,0,0,0
C,The piston on the surroundings.,0,0,1,0,0,0,0,0
A,"- the system, so it'd be Q minus W, so it would be plus. ",1,0,0,0,0,0,0,0
C,Plus yeah. ,1,0,0,0,0,0,0,0
B,Um. ,1,0,0,0,0,0,0,0
A,Is there some way we can measure the pressure?,1,0,0,0,0,0,0,0
D,Some type of pressure gauge. ,0,0,1,0,0,0,0,0
B,Oh yeah. ,1,0,0,0,0,0,0,0
A,Yeah.,1,0,0,0,0,0,0,0
C,Pressure. Barometer. ,0,0,1,0,0,0,0,0
D,Yeah barometer in the piston. That makes sense. I guess for the purpose of an experiment it's fine. ,0,0,1,0,0,0,0,0
A,I'm just gonna say measure the pressure in the piston. ,0,0,1,0,0,0,0,0
D,Yeah I think that's fine. They can assume that we know a better than that if there is one. ,1,0,0,0,0,0,0,0
A,Yeah. Ok. ,1,0,0,0,0,0,0,0
D,Oh yeah cause it's just the pressure times the change in volume is the - ,1,0,0,0,0,0,0,0
B,Yeah.,1,0,0,0,0,0,0,0
D,Right ok that makes sense. ,1,0,0,0,0,0,0,0
A,"Or it's - it's the change in specific volume but if we have the mass, that's fine.",1,0,0,0,0,0,0,0
D,This says boundary work you can do it pressure times the actual change in volume.,1,0,0,0,0,0,0,0
A,Oh really? Ok.,1,0,0,0,0,0,0,0
C,Mhm. ,1,0,0,0,0,0,0,0
A,I'll just - ,1,0,0,0,0,0,0,0
D,Cause it's just like the area under the curve of a - ,1,0,0,0,0,0,0,0
A,So true. I'm just gonna make this actual volume then cause it's easier - ,1,0,0,0,0,0,0,0
D,Yeah. ,1,0,0,0,0,0,0,0
A,- to explain. ,1,0,0,0,0,0,0,0
D,Yeah if my notes are correct then that seems.,1,0,0,0,0,0,0,0
A,I think that is right now that I think about it. Um. ,1,0,0,0,0,0,0,0
A,"I'm just gonna say instead of explaining how to calculate it, I'm gonna say use all of these values to calculate cp.",1,0,0,0,0,0,0,0
D,I think that's fine. ,1,0,0,0,0,0,0,0
A,Cause it's like kind of clear. ,1,0,0,0,0,0,0,0
D,You could say like above yeah. ,1,0,0,0,0,0,0,0
