Student,Text
C,So 200. Oh I don't know what the square root of 80 is.
T,Like nine point something?
C,"Yeah, it’s like 8.9. [Does calculation with calculator]. Okay, look I got 1000. I mean, it makes sense. 1,788.85 kg per meters per second. I just don’t know where to go from there."
M,"Oh, wait, I got that, too. This."
C,Yeah.
C,"See, I'm not sure about where friction is coming into play."
M,"There's no way that's the minimum. Oh, wait. How do I find the minimum speed?"
C,"Well, that would just be the momentum. I don't know what we do with the momentum. Let me look at my equations. Like, I don't even know if we need momentum."
M,Have we learned anything about how to get the minimum speed?
C,"Like, I don’t think so. Let’s see. A [unidentifiable audio] equation. I don’t know if that’s helpful"
M,"What’s the, okay. When we learned about friction. No, but that was like minimum, no like maximum force. Oh, no, that's not what we need."
C,I just like still feel like we're missing something.
M,I know.
C,I don't know.
